Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,31376,1823154,1.72%,3.65
Almanya,219,26461,0.83%,3.4
Bulgaristan,77,2858,2.69%,2.96
Hollanda,73,7579,0.96%,3.53
İngiltere,71,5051,1.41%,9.38
Güney Kıbrıs Rum Yönetimi,66,6425,1.03%,3.16
Fransa,59,5572,1.06%,4.35
Amerika Birleşik Devletleri,50,18888,0.26%,11.81
Azerbaycan,49,3760,1.3%,2.28
Avusturya,30,3828,0.78%,2.87
İtalya,29,2274,1.28%,21.21
Belçika,26,2853,0.91%,3.05
Yunanistan,22,1239,1.78%,3.55
Bilinmeyen Bölge,20,1159,1.73%,4.4
Rusya,16,2179,0.73%,14.24
Romanya,15,946,1.59%,6.66
Irak,14,1142,1.23%,5.31
Makedonya,14,649,2.16%,3.1
Türkmenistan,13,1683,0.77%,2
Suriye,13,755,1.72%,5.13
İsviçre,12,1479,0.81%,3.7
Georgia,12,1046,1.15%,4.62
Suudi Arabistan,12,790,1.52%,6.59
Özbekistan,11,693,1.59%,4.94
Sırpça,11,246,4.47%,5.59
Polonya,10,735,1.36%,7.78
İsrail,9,200,4.5%,8.48
İsveç,8,798,1%,4.6
Libya,7,234,2.99%,4.84
Kırgızistan,7,205,3.41%,5.91
Birleşik Arap Emirlikleri,6,429,1.4%,6.01
Norveç,6,326,1.84%,4.77
Kosova,6,164,3.66%,2.93
İspanya,5,1234,0.41%,8.67
Montenegro,5,189,2.65%,3.85
Malta,5,106,4.72%,3.78
Kanada,4,1341,0.3%,11.85
Danimarka,4,672,0.6%,3.59
Cezayir,4,283,1.41%,13.29
Çekya,4,222,1.8%,7.88
Senegal,4,90,4.44%,9.82
Meksika,3,752,0.4%,17.3
Kazakistan,3,575,0.52%,5.73
Mısır,3,387,0.78%,12.4
Arnavutluk,3,187,1.6%,8.59
Katar,3,178,1.69%,3.31
Kenya,3,144,2.08%,13.31
Hırvatça,3,117,2.56%,5.89
Mozambik,3,39,7.69%,4.67
Surinam,3,31,9.68%,5.23
Ukrayna,2,578,0.35%,12.3
Fas,2,307,0.65%,12.56
Malezya,2,304,0.66%,18.76
İran,2,275,0.73%,8.33
Finlandiya,2,239,0.84%,5.24
Bosna Hersek,2,177,1.13%,5.27
Singapur,2,133,1.5%,7.69
Moldova,2,122,1.64%,6.94
Somali,2,100,2%,3.39
Nijerya,2,100,2%,9.06
Litvanya,2,93,2.15%,14.74
Afganistan,2,77,2.6%,2.57
Brezilya,1,6082,0.02%,18.69
Hindistan,1,2486,0.04%,18.85
Endonezya,1,1001,0.1%,18.93
Avustralya,1,462,0.22%,11.71
Güney Afrika,1,354,0.28%,17.97
Japonya,1,324,0.31%,15.61
İrlanda,1,311,0.32%,12.48
Tayland,1,254,0.39%,14.96
Venezuela,1,192,0.52%,18.95
